date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:18	193/193	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2002%20Sep%202017%2019:03:17%20GMT	https://images.confetticdn.com/images/scale/w_144,h_144,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_144,h_144,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:33:23	20949/20949	---M--	200	added ('OK')	application/octet-stream	etag:W/%2251d5-7zqWEkWRJvXTjZr3D8OdeA%22	https://images.confetticdn.com/images/scale/w_152,h_152,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_152,h_152,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:33:25	8718/8718	---M--	200	added ('OK')	application/octet-stream	etag:W/%22220e-c+kk48NbqsakutgMQXUahQ%22	https://images.confetticdn.com/images/scale/w_96,h_96,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_96,h_96,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:33:30	19272/19272	---M--	200	added ('OK')	application/octet-stream	etag:W/%224b48-lAw59nqWn8MKuH42Nkx/mQ%22	https://images.confetticdn.com/images/scale/w_192,h_192,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_192,h_192,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:33:32	4530/4530	---M--	200	added ('OK')	image/png	etag:%221cdd35641d2c0aa6911aa6f6098cc2f7%22	http://d2wd18kp3k18ix.cloudfront.net/default/created-with-conteffi-2.png?v-5	D:/web%20templates/Nordic/d2wd18kp3k18ix.cloudfront.net/default/created-with-conteffi-2ee70.png	(from http://nordic.design/themes/default/style.css)
00:33:35	11980/11980	---M--	200	added ('OK')	image/png	etag:%22d64c0938ffeddef846d97e6eccd80d72%22	http://d2wd18kp3k18ix.cloudfront.net/sthlmtech/footer-confetti.png	D:/web%20templates/Nordic/d2wd18kp3k18ix.cloudfront.net/sthlmtech/footer-confetti.png	(from http://nordic.design/themes/default/style.css)
00:33:39	24902/24902	---M--	200	added ('OK')	image/png	etag:%22ada3c57746020e2c90d5853ba4f2ba7e%22	http://d2wd18kp3k18ix.cloudfront.net/sthlmtech/stripe2.png	D:/web%20templates/Nordic/d2wd18kp3k18ix.cloudfront.net/sthlmtech/stripe2.png	(from http://nordic.design/themes/default/style.css)
00:33:58	646088/646088	---M--	200	added ('OK')	image/jpeg	etag:%22e0c017ad7ab4d9a53557cfe223886644%22	http://d2wd18kp3k18ix.cloudfront.net/nordicjs2017/festen.jpg	D:/web%20templates/Nordic/d2wd18kp3k18ix.cloudfront.net/nordicjs2017/festen.jpg	(from http://nordic.design/)
00:34:05	581714/581714	---M--	200	added ('OK')	image/png	etag:%224ed8c67deb7fc23bebf95380e7a3df0e%22	http://d2wd18kp3k18ix.cloudfront.net/nordicjs2017/organisers.png	D:/web%20templates/Nordic/d2wd18kp3k18ix.cloudfront.net/nordicjs2017/organisers.png	(from http://nordic.design/)
00:34:12	253885/253885	---M--	200	added ('OK')	image/jpeg	etag:W/%223dfbd-3937046494%22	http://confetti.events/images/headers/pleasure.jpg	D:/web%20templates/Nordic/confetti.events/images/headers/pleasure.jpg	(from http://nordic.design/themes/default/style.css)
00:34:15	950354/950354	---M--	200	added ('OK')	image/jpeg	etag:%2247502c6adc31da8b182167586a397950%22	http://d2wd18kp3k18ix.cloudfront.net/nordicjs2017/speakers-gallery.jpg?v1	D:/web%20templates/Nordic/d2wd18kp3k18ix.cloudfront.net/nordicjs2017/speakers-gallery6654.jpg	(from http://nordic.design/)
00:34:16	56597/56597	---MCZ	200	added ('OK')	text/css	etag:W/%22dd15-15e37a9b370%22	http://nordic.design/signup/style.css	D:/web%20templates/Nordic/nordic.design/signup/style.css	(from http://nordic.design/signup/)
00:34:19	193/193	UR-MC-	412	error ('Precondition%20Failed')	text/html	date:Sat,%2002%20Sep%202017%2019:04:18%20GMT	https://images.confetticdn.com/images/scale/w_114,h_114,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_114,h_114,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:34:20	13007/13007	---M--	200	added ('OK')	application/octet-stream	etag:W/%2232cf-EVaFOzD612n+nbupeYPzMw%22	https://images.confetticdn.com/images/scale/w_120,h_120,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	D:/web%20templates/Nordic/images.confetticdn.com/images/scale/w_120,h_120,c_fill,f_png/event-6912/image-bd3b168b-b476-49d3-a91e-e330a98ef6f6/favicon.png.png	(from http://nordic.design/)
00:34:21	400902/400902	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261e06-15e37a99fe8%22	http://df17938sh9pb.cloudfront.net/build/1f8a87760e108bfeaf6a.tickets.js	D:/web%20templates/Nordic/df17938sh9pb.cloudfront.net/build/1f8a87760e108bfeaf6a.tickets.js	(from http://nordic.design/signup/)
